ID,korisnik,aktivnost,datum,trajanje_min,kalorije,otkucaji,deleted
1154,Nikolina Petrović,Joga,2025-04-13,39,582,109,0
1155,Marko Lukić,Trčanje,2025-08-04,25,981,143,0
1156,Stefan Stanković,Joga,2025-03-21,107,847,60,0
1157,Milan Marković,Joga,2025-04-27,35,535,104,0
1158,Ivana Pavlović,Plivanje,2025-10-20,160,515,187,0
1159,Kristina Vasić,Teretana,2024-05-15,44,1349,126,0
1160,Aleksa Jovanović,Trčanje,2025-05-09,116,1462,198,0
1161,Katarina Pavlović,Biciklizam,2025-07-15,44,685,197,0
1162,Milan Tadić,Biciklizam,2025-11-25,29,1348,99,0
1163,Miloš Božić,Plivanje,2024-01-11,57,515,86,0
1164,Ivana Nikolić,Joga,2025-12-19,126,1340,175,0
1165,Filip Aleksić,Plivanje,2025-08-16,124,835,132,0
1166,Nemanja Aleksić,Trčanje,2025-05-27,149,738,189,0
1167,Teodora Popović,Joga,2025-02-01,133,938,192,0
1168,Stefanija Vukić,Joga,2024-02-11,49,1073,64,0
1169,Ivana Radanović,Trčanje,2025-05-07,171,813,71,0
1170,Nikola Božić,Plivanje,2024-08-09,136,115,71,0
1171,Milica Đorđević,Plivanje,2024-10-20,156,398,188,0
1172,Stefanija Petrović,Teretana,2025-03-28,160,1077,99,0
1173,Nikola Tadić,Plivanje,2024-09-06,37,1421,61,0
1174,Vladimir Jovanović,Teretana,2024-09-17,172,897,134,0
1175,Ivana Vukić,Trčanje,2024-08-26,139,910,174,0
1176,Sara Aleksić,Plivanje,2025-10-25,59,604,60,0
1177,Marija Stanković,Joga,2024-05-15,22,782,147,0
1178,Filip Petrović,Joga,2024-02-15,175,706,183,0
1179,Milan Popović,Teretana,2024-12-16,48,852,85,0
1180,Marko Stojić,Joga,2024-07-23,165,1378,145,0
1181,Milica Radović,Joga,2024-10-01,83,573,99,0
1182,Milica Radanović,Biciklizam,2025-09-28,52,95,113,0
1183,Nikola Đorđević,Biciklizam,2025-06-29,129,1447,128,0
1184,Marko Radanović,Biciklizam,2025-09-22,84,990,84,0
1185,Katarina Dimitrijević,Trčanje,2024-03-14,10,223,117,0
1186,Filip Jovanović,Trčanje,2025-02-09,160,1260,155,0
1187,Nikolina Knežević,Teretana,2025-04-14,125,251,134,0
1188,Aleksandar Ristić,Joga,2024-03-24,89,727,168,0
1189,Tanja Jovanović,Joga,2025-01-09,125,1444,159,0
1190,Jelena Marković,Teretana,2025-06-25,84,415,150,0
1191,Miloš Stojić,Plivanje,2025-03-01,114,119,196,0
1192,Stefan Janković,Joga,2024-12-09,142,245,116,0
1193,Vladimir Đorđević,Plivanje,2025-02-24,114,1329,64,0
1194,Danijel Pavlović,Teretana,2025-09-02,18,1316,169,0
1195,Miloš Jovanović,Trčanje,2024-03-22,72,1219,65,0
1196,Jelena Kovačević,Teretana,2025-07-27,51,710,98,0
1197,Marija Jovanović,Joga,2024-08-08,105,903,136,0
1198,Petar Aleksić,Biciklizam,2025-10-10,11,1342,178,0
1199,Filip Ristić,Joga,2024-04-19,53,271,75,0
1200,Sara Stanković,Teretana,2025-02-26,50,1399,179,0
1201,Ana Popović,Trčanje,2025-05-04,166,427,79,0
1202,Ana Stojić,Plivanje,2025-10-21,133,220,98,0
1203,Nikola Lukić,Biciklizam,2025-08-23,85,563,96,0
1204,Kristina Milošević,Joga,2025-01-09,92,1262,184,0
1205,Petar Đorđević,Plivanje,2024-05-26,96,88,121,0
1206,Marija Vasić,Teretana,2024-05-09,119,763,149,0
1207,Dragana Dimitrijević,Biciklizam,2024-03-11,149,325,114,0
1208,Marko Stanković,Teretana,2025-03-29,37,804,107,0
1209,Filip Tadić,Trčanje,2025-09-25,139,928,69,0
1210,Marko Simić,Joga,2025-07-18,61,481,183,0
1211,Nemanja Janković,Trčanje,2025-07-22,104,366,164,0
1212,Milica Kovačević,Plivanje,2025-07-22,115,1138,173,0
1213,Miloš Nikolić,Teretana,2024-09-13,109,691,88,0
1214,Marko Vasić,Joga,2024-12-20,169,722,110,0
1215,Stefanija Jovanović,Biciklizam,2024-09-26,78,253,117,0
1216,Jelena Nikolić,Trčanje,2024-06-14,122,909,147,0
1217,Luka Tadić,Trčanje,2024-07-21,125,1173,98,0
1218,Marko Dimitrijević,Teretana,2025-02-04,163,173,185,0
1219,Nikola Milenković,Trčanje,2024-07-03,101,576,129,0
1220,Ana Petrović,Biciklizam,2024-11-05,167,913,200,0
1221,Jovana Ilić,Trčanje,2025-11-29,95,1168,81,0
1222,Aleksa Stanković,Plivanje,2024-12-17,50,462,190,0
1223,Vladimir Lukić,Biciklizam,2024-01-23,157,1389,150,0
1224,Jovana Kovačević,Joga,2025-11-24,30,817,149,0
1225,Kristina Radanović,Plivanje,2024-08-19,168,1009,130,0
1226,Milan Aleksić,Trčanje,2025-07-08,18,675,120,0
1227,Petar Jovanović,Plivanje,2024-02-13,64,657,102,0
1228,Marko Simić,Joga,2024-01-06,29,842,98,0
1229,Marko Tadić,Joga,2025-11-20,33,384,109,0
1230,Jovana Đorđević,Trčanje,2024-09-15,100,278,133,0
1231,Tanja Stojić,Trčanje,2025-01-06,55,264,188,0
1232,Nikolina Miladinović,Plivanje,2024-01-26,129,169,87,0
1233,Teodora Matić,Joga,2024-11-15,147,439,176,0
1234,Nikola Janković,Teretana,2024-06-22,71,804,169,0
1235,Danijel Vuković,Trčanje,2025-09-04,102,779,132,0
1236,Stefanija Božić,Plivanje,2024-05-27,135,447,127,0
1237,Ivana Marković,Biciklizam,2024-09-09,175,704,133,0
1238,Stefan Ristić,Plivanje,2025-03-21,148,819,60,0
1239,Ivana Jovanović,Teretana,2024-08-27,149,734,77,0
1240,Nemanja Ristić,Teretana,2025-08-03,50,1491,126,0
1241,Sara Matić,Trčanje,2025-08-19,47,165,156,0
1242,Milica Pavlović,Biciklizam,2024-06-19,150,1020,71,0
1243,Katarina Stanković,Trčanje,2025-02-14,29,343,156,0
1244,Ana Knežević,Trčanje,2025-09-24,121,1208,130,0
1245,Sara Jovanović,Joga,2025-09-02,147,1337,64,0
1246,Luka Ristić,Plivanje,2025-12-31,175,249,185,0
1247,Marko Jovanović,Biciklizam,2025-07-05,76,611,152,0
1248,Nemanja Vukić,Joga,2024-08-16,162,1360,196,0
1249,Katarina Marković,Plivanje,2025-01-16,101,193,87,0
1250,Dragana Aleksić,Teretana,2025-12-16,40,1022,94,0
1251,Ivana Knežević,Teretana,2025-07-27,82,642,107,0
1252,Kristina Pavlović,Trčanje,2024-03-21,152,687,163,0
1253,Filip Vasić,Joga,2024-02-17,34,741,197,0
1254,Milica Matić,Joga,2025-10-28,22,448,77,0
1255,Nemanja Nikolić,Teretana,2024-02-06,128,1263,107,0
1256,Tanja Vasić,Teretana,2025-05-24,29,477,180,0
1257,Kristina Stanković,Joga,2025-07-29,175,206,75,0
1258,Luka Stojić,Joga,2025-03-19,95,152,75,0
1259,Ana Janković,Joga,2024-05-06,160,1426,101,0
1260,Nikolina Lukić,Plivanje,2025-06-01,161,364,128,0
1261,Milan Vuković,Plivanje,2024-08-19,119,1172,150,0
1262,Ivana Pavlović,Teretana,2025-09-28,48,661,194,0
1263,Milan Nikolić,Teretana,2024-05-18,157,1102,153,0
1264,Vesna Radanović,Plivanje,2025-01-16,164,1479,107,0
1265,Vesna Ilić,Teretana,2024-10-03,175,1409,147,0
1266,Stefanija Miladinović,Trčanje,2024-02-14,129,340,149,0
1267,Tanja Miladinović,Biciklizam,2024-04-21,23,148,78,0
1268,Marko Nikolić,Trčanje,2025-07-10,13,252,69,0
1269,Miloš Vasić,Teretana,2025-08-11,96,250,100,0
1270,Aleksandar Vukić,Plivanje,2024-05-04,45,810,129,0
1271,Vesna Đorđević,Plivanje,2025-07-07,117,929,173,0
1272,Tanja Božić,Teretana,2024-12-02,132,85,161,0
1273,Vesna Ristić,Plivanje,2025-04-21,37,877,77,0
1274,Aleksandar Jovanović,Joga,2024-02-06,77,264,106,0
1275,Filip Radanović,Trčanje,2025-09-05,55,477,77,0
1276,Teodora Vuković,Teretana,2024-06-04,49,506,152,0
1277,Aleksandar Kovačević,Plivanje,2024-04-03,105,473,156,0
1278,Milan Pavlović,Trčanje,2024-01-20,157,1403,161,0
1279,Jelena Stojić,Biciklizam,2024-10-31,117,1068,200,0
1280,Milan Matić,Joga,2024-05-19,149,1152,61,0
1281,Marija Tadić,Biciklizam,2025-06-08,46,542,85,0
1282,Kristina Dimitrijević,Plivanje,2024-10-07,162,1176,135,0
1283,Petar Marković,Teretana,2025-07-09,93,693,158,0
1284,Jelena Đorđević,Plivanje,2025-11-04,119,994,129,0
1285,Sara Vasić,Plivanje,2025-04-07,107,1420,185,0
1286,Danijel Božić,Trčanje,2024-09-09,92,1228,89,0
1287,Ivana Stanković,Trčanje,2024-05-19,78,420,139,0
1288,Milica Popović,Teretana,2025-11-07,173,1469,149,0
1289,Vladimir Ilić,Biciklizam,2025-06-10,125,721,183,0
1290,Ana Radanović,Plivanje,2025-07-18,90,591,60,0
1291,Stefan Vuković,Biciklizam,2025-09-20,10,1257,107,0
1292,Marko Pavlović,Teretana,2024-05-09,65,1084,188,0
1293,Aleksa Vuković,Teretana,2025-02-25,155,1328,89,0
1294,Nemanja Milenković,Trčanje,2025-03-07,58,814,108,0
1295,Marko Jovanović,Biciklizam,2025-05-30,128,984,81,0
1296,Kristina Marković,Teretana,2025-03-23,41,931,103,0
1297,Marija Radović,Trčanje,2025-02-23,113,605,153,0
1298,Stefanija Jovanović,Trčanje,2024-06-14,162,756,136,0
1299,Teodora Simić,Trčanje,2024-05-09,150,1340,90,0
1300,Filip Dimitrijević,Trčanje,2025-12-21,54,601,197,0
1301,Katarina Radanović,Joga,2024-02-08,177,633,188,0
1302,Petar Knežević,Plivanje,2025-05-06,90,186,182,0
1303,Nikola Nikolić,Teretana,2025-03-04,37,1343,61,0
1304,Milan Lukić,Teretana,2024-06-07,84,1354,142,0
1305,Filip Stanković,Plivanje,2025-12-08,144,1289,110,0
1306,Vesna Vukić,Trčanje,2024-08-05,160,1047,156,0
1307,Luka Vasić,Joga,2024-01-28,94,692,183,0
1308,Aleksandar Pavlović,Teretana,2025-12-17,160,713,160,0
1309,Stefan Matić,Teretana,2024-05-05,31,952,129,0
1310,Dragana Janković,Biciklizam,2024-03-24,39,450,121,0
1311,Nikola Milošević,Joga,2025-09-10,102,857,165,0
1312,Aleksa Ilić,Joga,2024-08-15,76,1455,166,0
1313,Luka Janković,Teretana,2024-08-20,56,1167,118,0
1314,Marko Đorđević,Biciklizam,2025-09-16,87,524,107,0
1315,Tanja Milenković,Plivanje,2024-11-29,44,1347,61,0
1316,Vladimir Popović,Biciklizam,2025-03-01,51,470,189,0
1317,Teodora Đorđević,Plivanje,2025-05-09,153,899,194,0
1318,Ivana Kovačević,Joga,2024-12-02,70,793,66,0
1319,Sara Milošević,Plivanje,2024-09-12,20,542,171,0
1320,Milica Ilić,Teretana,2025-10-15,100,767,197,0
1321,Stefanija Pavlović,Biciklizam,2024-10-02,159,370,169,0
1322,Vesna Jovanović,Trčanje,2024-04-10,17,1167,104,0
1323,Filip Miladinović,Teretana,2024-08-24,167,186,69,0
1324,Aleksa Milenković,Teretana,2025-06-12,151,1399,191,0
1325,Marija Vukić,Plivanje,2025-11-08,94,489,80,0
1326,Marko Marković,Joga,2024-03-15,91,373,123,0
1327,Tanja Aleksić,Plivanje,2024-10-06,14,300,188,0
1328,Jovana Janković,Joga,2025-10-04,11,1144,77,0
1329,Katarina Milošević,Joga,2024-02-22,118,1352,100,0
1330,Aleksandar Matić,Joga,2025-04-21,128,1213,151,0
1331,Stefan Lukić,Trčanje,2024-01-20,109,564,189,0
1332,Luka Marković,Trčanje,2025-08-30,149,636,148,0
1333,Milan Radović,Trčanje,2025-02-06,47,1378,184,0
1334,Ivana Petrović,Trčanje,2025-12-31,133,1386,61,0
1335,Filip Matić,Plivanje,2024-01-24,175,765,163,0
1336,Kristina Simić,Teretana,2024-12-20,57,1025,151,0
1337,Miloš Vukić,Biciklizam,2024-07-08,83,1269,143,0
1338,Teodora Petrović,Biciklizam,2024-12-13,50,601,88,0
1339,Vesna Simić,Joga,2025-12-16,11,1482,162,0
1340,Aleksandar Petrović,Joga,2024-05-19,100,960,143,0
1341,Tanja Radanović,Biciklizam,2025-06-19,70,625,119,0
1342,Nemanja Kovačević,Trčanje,2025-08-12,113,1077,114,0
1343,Vladimir Vukić,Trčanje,2025-03-17,75,1489,110,0
1344,Stefan Tadić,Joga,2024-05-23,46,1400,150,0
1345,Nemanja Božić,Plivanje,2025-05-12,157,400,115,0
1346,Dragana Knežević,Teretana,2024-05-17,177,592,142,0
1347,Dragana Popović,Plivanje,2025-08-14,104,544,139,0
1348,Petar Nikolić,Teretana,2025-10-06,97,481,196,0
1349,Luka Radanović,Teretana,2024-12-09,126,347,97,0
1350,Ana Ristić,Biciklizam,2024-11-14,75,724,175,0
1351,Marko Tadić,Plivanje,2025-09-06,68,1330,65,0
1352,Stefanija Stanković,Plivanje,2024-03-25,101,270,87,0
1353,Miloš Stanković,Teretana,2025-04-21,171,651,154,0
1354,Petar Božić,Trčanje,2024-01-11,48,667,66,0
1355,Ana Radović,Joga,2025-12-17,74,958,142,0
1356,Marko Božić,Biciklizam,2025-05-06,134,247,140,0
1357,Marko Dimitrijević,Biciklizam,2024-11-23,105,1106,96,0
1358,Vladimir Miladinović,Trčanje,2025-08-30,169,972,87,0
1359,Vesna Stojić,Trčanje,2025-11-06,72,1161,120,0
1360,Teodora Ilić,Trčanje,2024-01-12,34,1374,102,0
1361,Kristina Vukić,Plivanje,2025-10-23,165,961,97,0
1362,Jelena Jovanović,Teretana,2025-04-07,115,967,120,0
1363,Aleksa Radanović,Trčanje,2025-06-09,19,671,177,0
1364,Dragana Nikolić,Biciklizam,2024-07-23,73,1240,170,0
1365,Vesna Popović,Biciklizam,2025-09-12,85,1309,75,0
1366,Teodora Jovanović,Joga,2024-05-09,78,444,97,0
1367,Marko Pavlović,Teretana,2024-09-03,155,850,165,0
1368,Ivana Vuković,Plivanje,2024-09-01,118,133,128,0
1369,Dragana Pavlović,Plivanje,2024-10-07,59,420,173,0
1370,Milica Lukić,Biciklizam,2025-02-22,52,1125,185,0
1371,Marija Marković,Plivanje,2024-01-12,52,793,100,0
1372,Stefan Petrović,Teretana,2024-08-17,158,615,198,0
1373,Ivana Tadić,Biciklizam,2025-09-12,90,463,94,0
1374,Marija Lukić,Trčanje,2025-08-24,47,1220,162,0
1375,Dragana Milošević,Trčanje,2024-02-24,160,1179,84,0
1376,Miloš Knežević,Plivanje,2025-01-08,119,245,65,0
1377,Nemanja Tadić,Plivanje,2024-12-21,67,1065,132,0
1378,Dragana Vukić,Biciklizam,2024-05-27,169,1263,93,0
1379,Marko Janković,Plivanje,2025-02-15,46,101,158,0
1380,Kristina Jovanović,Plivanje,2025-04-02,117,902,191,0
1381,Milica Vuković,Plivanje,2024-01-18,31,1066,81,0
1382,Marija Popović,Plivanje,2025-11-21,61,407,73,0
1383,Jovana Tadić,Plivanje,2025-01-09,22,956,90,0
1384,Stefanija Popović,Biciklizam,2024-02-26,88,259,174,0
1385,Tanja Ristić,Teretana,2024-10-15,42,1056,174,0
1386,Vesna Stanković,Biciklizam,2025-02-19,31,897,100,0
1387,Kristina Aleksić,Joga,2024-04-03,151,467,132,0
1388,Luka Stanković,Joga,2025-02-22,84,1334,102,0
1389,Nemanja Đorđević,Trčanje,2024-08-15,137,89,114,0
1390,Marija Pavlović,Trčanje,2024-02-14,177,1466,119,0
1391,Ana Stanković,Plivanje,2025-02-12,17,1437,188,0
1392,Marko Vuković,Teretana,2024-06-11,132,933,156,0
1393,Ana Ilić,Joga,2025-12-29,146,142,83,0
1394,Aleksa Pavlović,Trčanje,2025-02-10,66,548,147,0
1395,Ana Lukić,Plivanje,2024-11-18,72,1356,177,0
1396,Katarina Vukić,Plivanje,2024-08-07,173,479,173,0
1397,Nikolina Vuković,Biciklizam,2025-02-25,114,1169,113,0
1398,Vladimir Stojić,Biciklizam,2024-08-07,31,525,186,0
1399,Milica Ristić,Teretana,2024-10-17,180,421,141,0
1400,Ivana Ilić,Plivanje,2025-07-26,141,309,100,0
1401,Aleksa Popović,Plivanje,2024-12-04,123,482,180,0
1402,Aleksa Dimitrijević,Biciklizam,2024-10-27,134,832,171,0
1403,Vesna Aleksić,Trčanje,2024-11-15,107,279,110,0
1404,Filip Božić,Trčanje,2024-04-16,71,1171,136,0
1405,Marija Petrović,Biciklizam,2025-06-24,93,1168,112,0
1406,Stefan Jovanović,Trčanje,2025-02-01,19,108,87,0
1407,Filip Nikolić,Plivanje,2025-08-19,28,540,79,0
1408,Sara Pavlović,Joga,2024-10-08,59,1081,184,0
1409,Aleksandar Simić,Teretana,2024-03-09,161,1083,189,0
1410,Miloš Miladinović,Plivanje,2024-01-03,121,192,62,0
1411,Milica Miladinović,Teretana,2025-11-25,153,1352,182,0
1412,Filip Simić,Biciklizam,2025-12-04,101,774,200,0
1413,Kristina Radović,Teretana,2025-09-18,140,196,118,0
1414,Tanja Marković,Biciklizam,2025-08-16,87,898,139,0
1415,Aleksandar Vuković,Biciklizam,2024-03-04,144,934,173,0
1416,Sara Jovanović,Joga,2024-07-05,97,135,151,0
1417,Jelena Radanović,Biciklizam,2024-03-05,43,1000,190,0
1418,Aleksandar Đorđević,Joga,2024-04-04,101,335,66,0
1419,Danijel Marković,Trčanje,2025-08-24,14,1498,144,0
1420,Milan Vasić,Teretana,2025-09-21,159,1302,74,0
1421,Nemanja Vuković,Teretana,2024-05-06,107,1043,153,0
1422,Jovana Aleksić,Biciklizam,2024-10-04,127,1234,104,0
1423,Marko Vukić,Teretana,2024-10-07,154,922,133,0
1424,Vesna Marković,Joga,2025-11-10,82,616,74,0
1425,Nikolina Ilić,Plivanje,2025-08-21,93,1006,98,0
1426,Petar Jovanović,Teretana,2025-03-01,85,1216,160,0
1427,Katarina Petrović,Trčanje,2024-04-05,159,934,71,0
1428,Vladimir Marković,Trčanje,2024-12-07,62,761,137,0
1429,Marko Aleksić,Trčanje,2025-11-07,107,521,177,0
1430,Nemanja Simić,Teretana,2024-12-01,145,57,179,0
1431,Jovana Knežević,Plivanje,2025-09-08,117,822,148,0
1432,Aleksandar Lukić,Plivanje,2025-02-01,108,990,145,0
1433,Kristina Ristić,Biciklizam,2025-12-07,145,792,96,0
1434,Stefanija Radović,Trčanje,2025-10-14,46,1192,172,0
1435,Sara Knežević,Trčanje,2024-08-31,119,1311,139,0
1436,Stefanija Simić,Plivanje,2025-06-17,59,1275,183,0
1437,Tanja Đorđević,Biciklizam,2024-04-22,24,834,104,0
1438,Filip Pavlović,Teretana,2025-11-10,95,177,80,0
1439,Aleksa Milošević,Teretana,2025-01-02,74,52,154,0
1440,Ana Jovanović,Trčanje,2025-10-07,176,1289,127,0
1441,Milica Milenković,Plivanje,2024-01-10,29,1267,156,0
1442,Luka Kovačević,Biciklizam,2024-01-29,34,763,123,0
1443,Nikolina Milošević,Biciklizam,2025-12-14,27,812,85,0
1444,Marko Petrović,Plivanje,2024-10-03,76,851,77,0
1445,Marko Ristić,Teretana,2024-03-24,21,662,122,0
1446,Marko Popović,Teretana,2025-09-13,94,270,85,0
1447,Katarina Božić,Teretana,2024-10-24,37,543,159,0
1448,Ivana Dimitrijević,Teretana,2025-02-09,133,701,79,0
1449,Nemanja Radanović,Trčanje,2024-04-14,95,322,158,0
1450,Ivana Matić,Plivanje,2024-04-16,36,1110,115,0
1451,Nikolina Marković,Teretana,2025-10-14,69,1422,86,0
1452,Petar Dimitrijević,Trčanje,2025-02-21,118,993,189,0
1453,Sara Ristić,Trčanje,2024-10-17,178,482,200,0
1454,Ivana Stojić,Biciklizam,2024-05-03,106,403,124,0
1455,Ivana Lukić,Biciklizam,2024-04-11,14,1409,174,0
1456,Petar Kovačević,Joga,2024-03-02,177,687,171,0
1457,Katarina Aleksić,Joga,2024-02-29,24,86,148,0
1458,Jovana Radanović,Trčanje,2024-04-10,34,1176,84,0
1459,Danijel Kovačević,Biciklizam,2024-11-23,95,355,158,0
1460,Dragana Vuković,Trčanje,2024-04-17,169,1362,147,0
1461,Jovana Pavlović,Biciklizam,2025-05-28,109,875,132,0
1462,Marija Miladinović,Trčanje,2025-03-14,56,245,93,0
1463,Milan Božić,Trčanje,2025-05-06,105,391,138,0
1464,Ivana Vukić,Joga,2024-07-24,159,452,103,0
1465,Tanja Vuković,Biciklizam,2025-10-13,60,558,91,0
1466,Jelena Vasić,Teretana,2024-01-16,130,97,164,0
1467,Nemanja Petrović,Teretana,2024-08-22,117,260,157,0
1468,Ivana Ristić,Teretana,2025-02-23,98,373,165,0
1469,Vesna Milenković,Joga,2025-11-07,12,740,176,0
1470,Jovana Miladinović,Plivanje,2024-08-11,102,1045,108,0
1471,Kristina Kovačević,Plivanje,2024-01-12,99,1109,154,0
1472,Milan Jovanović,Joga,2025-09-18,25,1019,197,0
1473,Nikola Vukić,Biciklizam,2024-08-05,70,664,145,0
1474,Katarina Vasić,Trčanje,2025-02-26,54,797,197,0
1475,Milan Miladinović,Joga,2024-08-18,134,1093,156,0
1476,Stefan Nikolić,Joga,2024-01-06,135,1139,181,0
1477,Luka Đorđević,Plivanje,2025-03-11,127,140,128,0
1478,Dragana Petrović,Teretana,2025-08-01,104,347,184,0
1479,Jovana Dimitrijević,Teretana,2025-10-01,60,579,94,0
1480,Jovana Radović,Trčanje,2024-08-17,148,694,150,0
1481,Dragana Miladinović,Joga,2024-12-29,171,389,91,0
1482,Nikola Jovanović,Trčanje,2025-10-03,121,530,126,0
1483,Vladimir Petrović,Plivanje,2024-08-11,88,912,184,0
1484,Petar Janković,Biciklizam,2025-08-30,33,463,104,0
1485,Tanja Matić,Joga,2025-07-20,162,1083,200,0
1486,Katarina Vuković,Plivanje,2024-07-05,101,1015,135,0
1487,Marko Matić,Teretana,2024-05-23,29,1217,198,0
1488,Jelena Matić,Trčanje,2025-10-23,75,55,152,0
1489,Miloš Aleksić,Teretana,2025-02-09,133,586,131,0
1490,Aleksa Matić,Teretana,2024-02-28,150,911,127,0
1491,Stefanija Radanović,Trčanje,2024-08-23,88,111,140,0
1492,Marija Ilić,Biciklizam,2024-10-30,70,180,140,0
1493,Miloš Popović,Teretana,2024-07-16,134,229,164,0
1494,Milan Kovačević,Biciklizam,2025-03-31,128,232,116,0
1495,Sara Janković,Biciklizam,2025-12-04,45,1395,93,0
1496,Luka Božić,Teretana,2025-07-04,124,1254,88,0
1497,Milica Vukić,Trčanje,2024-11-21,83,1066,106,0
1498,Milica Božić,Trčanje,2025-08-30,126,833,162,0
1499,Marija Đorđević,Biciklizam,2025-07-05,76,748,60,0
1500,Nikola Radović,Plivanje,2024-10-10,53,1476,68,0
1501,Luka Jovanović,Teretana,2025-09-06,110,1066,155,0
1502,Danijel Janković,Joga,2024-04-14,121,975,101,0
1503,Nikolina Dimitrijević,Teretana,2025-04-14,117,590,132,0
1504,Stefan Radović,Joga,2024-12-16,51,113,155,0
1505,Luka Petrović,Joga,2024-10-25,81,1384,128,0
1506,Stefanija Đorđević,Biciklizam,2024-01-29,120,636,168,0
1507,Marko Radović,Plivanje,2024-01-16,90,1400,123,0
1508,Sara Petrović,Biciklizam,2024-04-30,138,57,65,0
1509,Sara Radović,Trčanje,2025-03-18,26,617,181,0
1510,Vesna Božić,Biciklizam,2024-10-11,17,236,104,0
1511,Dragana Božić,Teretana,2025-03-14,110,321,151,0
1512,Ivana Janković,Joga,2025-10-23,37,345,162,0
1513,Vesna Knežević,Joga,2025-03-21,52,124,92,0
1514,Marija Vuković,Teretana,2025-11-25,90,520,168,0
1515,Danijel Milenković,Plivanje,2025-11-07,172,385,192,0
1516,Teodora Ristić,Biciklizam,2025-06-01,70,447,195,0
1517,Jelena Vukić,Plivanje,2025-02-09,50,58,181,0
1518,Filip Stojić,Teretana,2025-07-05,160,811,95,0
1519,Ivana Popović,Trčanje,2024-09-21,41,747,179,0
1520,Sara Tadić,Biciklizam,2024-09-08,167,296,197,0
1521,Jelena Lukić,Joga,2024-12-06,70,198,157,0
1522,Petar Miladinović,Biciklizam,2025-10-13,62,731,71,0
1523,Teodora Vasić,Joga,2024-01-24,130,1317,90,0
1524,Miloš Radović,Biciklizam,2024-06-17,147,1254,62,0
1525,Nikolina Ristić,Plivanje,2025-06-05,104,1497,162,0
1526,Aleksa Kovačević,Biciklizam,2024-06-29,60,600,153,0
1527,Filip Jovanović,Plivanje,2025-06-06,107,336,147,0
1528,Marija Radanović,Joga,2025-04-25,34,409,98,0
1529,Nikola Vasić,Trčanje,2024-08-26,170,1482,90,0
1530,Petar Milenković,Trčanje,2024-04-27,48,769,142,0
1531,Nemanja Popović,Trčanje,2025-03-05,85,637,99,0
1532,Ivana Miladinović,Teretana,2024-10-31,50,711,123,0
1533,Nikola Dimitrijević,Teretana,2025-03-11,16,961,101,0
1534,Aleksa Radović,Trčanje,2024-10-16,98,1424,187,0
1535,Ivana Aleksić,Plivanje,2025-09-21,137,1022,95,0
1536,Vladimir Vuković,Trčanje,2025-11-25,91,692,198,0
1537,Nemanja Miladinović,Plivanje,2025-10-23,61,1108,156,0
1538,Petar Vasić,Biciklizam,2024-06-21,116,880,84,0
1539,Vladimir Božić,Biciklizam,2024-05-21,77,1357,101,0
1540,Aleksa Ristić,Teretana,2024-04-10,10,94,79,0
1541,Nikolina Đorđević,Teretana,2024-05-02,142,1473,68,0
1542,Marko Petrović,Trčanje,2024-02-20,82,147,98,0
1543,Nikola Stojić,Trčanje,2025-12-10,41,814,132,0
1544,Ivana Ristić,Trčanje,2024-01-30,131,1133,74,0
1545,Nikola Kovačević,Teretana,2024-03-12,83,77,78,0
1546,Filip Lukić,Teretana,2024-06-22,80,1022,169,0
1547,Vesna Matić,Joga,2025-08-04,42,704,89,0
1548,Milan Janković,Teretana,2025-02-25,153,618,179,0
1549,Danijel Jovanović,Trčanje,2024-06-20,80,533,115,0
1550,Petar Pavlović,Plivanje,2025-05-09,69,1282,139,0
1551,Stefanija Janković,Teretana,2024-04-17,43,459,63,0
1552,Katarina Ristić,Teretana,2024-05-12,42,1241,194,0
1553,Jelena Dimitrijević,Plivanje,2025-03-09,158,1484,143,0
1554,Teodora Knežević,Biciklizam,2024-08-06,85,768,168,0
1555,Nemanja Stanković,Teretana,2024-03-20,130,1470,151,0
1556,Marija Ristić,Plivanje,2025-01-02,104,931,151,0
1557,Miloš Jovanović,Joga,2025-01-05,174,1409,124,0
1558,Stefan Milošević,Trčanje,2025-02-22,156,666,100,0
1559,Nikolina Milenković,Trčanje,2025-05-23,44,1299,76,0
1560,Jelena Radović,Plivanje,2024-06-23,73,823,118,0
1561,Stefan Dimitrijević,Teretana,2025-06-07,65,254,82,0
1562,Nikola Stanković,Joga,2024-11-20,76,491,179,0
1563,Nemanja Knežević,Biciklizam,2024-11-30,58,75,80,0
1564,Vesna Dimitrijević,Trčanje,2025-05-11,48,284,147,0
1565,Marko Milenković,Teretana,2025-10-15,141,686,124,0
1566,Ivana Nikolić,Teretana,2025-06-11,106,537,186,0
1567,Danijel Popović,Joga,2024-04-22,160,1350,144,0
1568,Stefanija Lukić,Joga,2025-05-15,70,716,177,0
1569,Nemanja Stojić,Biciklizam,2025-11-06,145,1287,174,0
1570,Kristina Nikolić,Biciklizam,2024-01-27,36,128,164,0
1571,Katarina Lukić,Plivanje,2024-08-09,72,1329,70,0
1572,Milan Milenković,Teretana,2024-07-09,160,1149,181,0
1573,Jelena Božić,Joga,2025-04-26,114,1400,95,0
1574,Petar Vuković,Biciklizam,2025-06-09,153,1198,79,0
1575,Marija Stojić,Plivanje,2025-02-14,32,1197,100,0
1576,Jovana Božić,Plivanje,2025-08-20,82,1343,139,0
